t, v
'0:0:10.76,2.06
'0:0:10.77,2.11
'0:0:10.78,2.10
'0:0:10.79,2.14
'0:0:10.8,2.13
'0:0:10.81,2.17
'0:0:10.82,2.15
'0:0:10.83,2.20
'0:0:10.84,2.17
'0:0:10.85,2.20
'0:0:10.86,2.18
'0:0:10.87,2.22
'0:0:10.88,2.21
'0:0:10.89,2.25
'0:0:10.9,2.24
'0:0:10.91,2.29
'0:0:10.92,2.27
'0:0:10.93,2.30
'0:0:10.94,2.27
'0:0:10.95,2.29
'0:0:10.96,2.25
'0:0:10.97,2.27
'0:0:10.98,2.23
'0:0:10.99,2.25
'0:0:11.0,2.21
'0:0:11.01,2.24
'0:0:11.02,2.19
'0:0:11.03,2.21
'0:0:11.04,2.17
'0:0:11.05,2.19
'0:0:11.06,2.14
'0:0:11.07,2.15
'0:0:11.08,2.10
'0:0:11.09,2.10
'0:0:11.1,2.03
'0:0:11.11,2.03
'0:0:11.12,1.97
'0:0:11.13,1.98
'0:0:11.14,1.92
'0:0:11.15,1.93
'0:0:11.16,1.88
'0:0:11.17,1.88
'0:0:11.18,1.83
'0:0:11.19,1.84
'0:0:11.2,1.78
'0:0:11.21,1.77
'0:0:11.22,1.70
'0:0:11.23,1.69
'0:0:11.24,1.61
'0:0:11.25,1.60
'0:0:11.26,1.53
'0:0:11.27,1.53
'0:0:11.28,1.47
'0:0:11.29,1.47
'0:0:11.3,1.41
'0:0:11.31,1.39
'0:0:11.32,1.33
'0:0:11.33,1.33
'0:0:11.34,1.26
'0:0:11.35,1.25
'0:0:11.36,1.18
'0:0:11.37,1.18
'0:0:11.38,1.13
'0:0:11.39,1.12
'0:0:11.4,1.07
'0:0:11.41,1.07
'0:0:11.42,1.01
'0:0:11.43,1.02
'0:0:11.44,0.97
'0:0:11.45,0.98
'0:0:11.46,0.93
'0:0:11.47,0.95
'0:0:11.48,0.91
'0:0:11.49,0.93
'0:0:11.5,0.89
'0:0:11.51,0.90
'0:0:11.52,0.86
'0:0:11.53,0.87
'0:0:11.54,0.82
'0:0:11.55,0.83
'0:0:11.56,0.77
'0:0:11.57,0.79
'0:0:11.58,0.74
'0:0:11.59,0.76
'0:0:11.6,0.72
'0:0:11.61,0.74
'0:0:11.62,0.71
'0:0:11.63,0.73
'0:0:11.64,0.69
'0:0:11.65,0.71
'0:0:11.66,0.68
'0:0:11.67,0.69
'0:0:11.68,0.65
'0:0:11.69,0.67
'0:0:11.7,0.63
'0:0:11.71,0.65
'0:0:11.72,0.61
'0:0:11.73,0.63
'0:0:11.74,0.60
'0:0:11.75,0.62
'0:0:11.76,0.59
'0:0:11.77,0.62
'0:0:11.78,0.58
'0:0:11.79,0.61
'0:0:11.8,0.57
'0:0:11.81,0.59
'0:0:11.82,0.56
'0:0:11.83,0.58
'0:0:11.84,0.54
'0:0:11.85,0.56
'0:0:11.86,0.53
'0:0:11.87,0.55
'0:0:11.88,0.52
'0:0:11.89,0.55
'0:0:11.9,0.52
'0:0:11.91,0.55
'0:0:11.92,0.51
'0:0:11.93,0.54
'0:0:11.94,0.51
'0:0:11.95,0.54
'0:0:11.96,0.51
'0:0:11.97,0.54
'0:0:11.98,0.51
'0:0:11.99,0.54
'0:0:12.0,0.51
'0:0:12.01,0.54
'0:0:12.02,0.52
'0:0:12.03,0.55
'0:0:12.04,0.52
'0:0:12.05,0.56
'0:0:12.06,0.53
'0:0:12.07,0.56
'0:0:12.08,0.54
'0:0:12.09,0.57
'0:0:12.1,0.54
'0:0:12.11,0.58
'0:0:12.12,0.56
'0:0:12.13,0.59
'0:0:12.14,0.57
'0:0:12.15,0.61
'0:0:12.16,0.59
'0:0:12.17,0.63
'0:0:12.18,0.61
'0:0:12.19,0.64
'0:0:12.2,0.62
'0:0:12.21,0.66
'0:0:12.22,0.64
'0:0:12.23,0.68
'0:0:12.24,0.66
'0:0:12.25,0.70
'0:0:12.26,0.68
'0:0:12.27,0.72
'0:0:12.28,0.70
'0:0:12.29,0.75
'0:0:12.3,0.73
'0:0:12.31,0.77
'0:0:12.32,0.75
'0:0:12.33,0.79
'0:0:12.34,0.78
'0:0:12.35,0.82
'0:0:12.36,0.80
'0:0:12.37,0.83
'0:0:12.38,0.81
'0:0:12.39,0.85
'0:0:12.4,0.84
'0:0:12.41,0.89
'0:0:12.42,0.88
'0:0:12.43,0.93
'0:0:12.44,0.93
'0:0:12.45,0.98
'0:0:12.46,0.97
'0:0:12.47,1.02
'0:0:12.48,1.01
'0:0:12.49,1.07
'0:0:12.5,1.06
'0:0:12.51,1.11
'0:0:12.52,1.11
'0:0:12.53,1.16
'0:0:12.54,1.16
'0:0:12.55,1.21
'0:0:12.56,1.20
'0:0:12.57,1.25
'0:0:12.58,1.24
'0:0:12.59,1.29
'0:0:12.6,1.28
'0:0:12.61,1.32
'0:0:12.62,1.31
'0:0:12.63,1.36
'0:0:12.64,1.34
'0:0:12.65,1.38
'0:0:12.66,1.37
'0:0:12.67,1.41
'0:0:12.68,1.40
'0:0:12.69,1.44
'0:0:12.7,1.42
'0:0:12.71,1.46
'0:0:12.72,1.44
'0:0:12.73,1.48
'0:0:12.74,1.46
'0:0:12.75,1.49
'0:0:12.76,1.47
'0:0:12.77,1.51
'0:0:12.78,1.48
'0:0:12.79,1.51
'0:0:12.8,1.50
'0:0:12.81,1.53
'0:0:12.82,1.51
'0:0:12.83,1.54
'0:0:12.84,1.52
'0:0:12.85,1.54
'0:0:12.86,1.52
'0:0:12.87,1.55
'0:0:12.88,1.52
'0:0:12.89,1.55
'0:0:12.9,1.52
'0:0:12.91,1.55
'0:0:12.92,1.52
'0:0:12.93,1.55
'0:0:12.94,1.52
'0:0:12.95,1.55
'0:0:12.96,1.51
'0:0:12.97,1.54
'0:0:12.98,1.51
'0:0:12.99,1.54
'0:0:13.0,1.51
'0:0:13.01,1.53
'0:0:13.02,1.51
'0:0:13.03,1.53
'0:0:13.04,1.50
'0:0:13.05,1.53
'0:0:13.06,1.50
'0:0:13.07,1.53
'0:0:13.08,1.50
'0:0:13.09,1.53
'0:0:13.1,1.49
'0:0:13.11,1.51
'0:0:13.12,1.48
'0:0:13.13,1.51
'0:0:13.14,1.48
'0:0:13.15,1.50
'0:0:13.16,1.47
'0:0:13.17,1.50
'0:0:13.18,1.46
'0:0:13.19,1.49
'0:0:13.2,1.46
'0:0:13.21,1.48
'0:0:13.22,1.45
'0:0:13.23,1.48
'0:0:13.24,1.44
'0:0:13.25,1.46
'0:0:13.26,1.43
'0:0:13.27,1.46
'0:0:13.28,1.42
'0:0:13.29,1.45
'0:0:13.3,1.42
'0:0:13.31,1.44
'0:0:13.32,1.41
'0:0:13.33,1.44
'0:0:13.34,1.41
'0:0:13.35,1.43
'0:0:13.36,1.39
'0:0:13.37,1.42
'0:0:13.38,1.38
'0:0:13.39,1.40
'0:0:13.4,1.36
'0:0:13.41,1.38
'0:0:13.42,1.35
'0:0:13.43,1.36
'0:0:13.44,1.33
'0:0:13.45,1.35
'0:0:13.46,1.31
'0:0:13.47,1.33
'0:0:13.48,1.30
'0:0:13.49,1.31
'0:0:13.5,1.28
'0:0:13.51,1.30
'0:0:13.52,1.27
'0:0:13.53,1.29
'0:0:13.54,1.26
'0:0:13.55,1.28
'0:0:13.56,1.24
'0:0:13.57,1.26
'0:0:13.58,1.23
'0:0:13.59,1.25
'0:0:13.6,1.21
'0:0:13.61,1.23
'0:0:13.62,1.20
'0:0:13.63,1.22
'0:0:13.64,1.18
'0:0:13.65,1.19
'0:0:13.66,1.15
'0:0:13.67,1.17
'0:0:13.68,1.13
'0:0:13.69,1.15
'0:0:13.7,1.11
'0:0:13.71,1.13
'0:0:13.72,1.09
'0:0:13.73,1.11
'0:0:13.74,1.08
'0:0:13.75,1.09
'0:0:13.76,1.06
'0:0:13.77,1.08
'0:0:13.78,1.04
'0:0:13.79,1.06
'0:0:13.8,1.02
'0:0:13.81,1.04
'0:0:13.82,1.00
'0:0:13.83,1.02
'0:0:13.84,0.98
'0:0:13.85,0.99
'0:0:13.86,0.95
'0:0:13.87,0.97
'0:0:13.88,0.93
'0:0:13.89,0.95
'0:0:13.9,0.92
'0:0:13.91,0.94
'0:0:13.92,0.90
'0:0:13.93,0.92
'0:0:13.94,0.88
'0:0:13.95,0.90
'0:0:13.96,0.86
'0:0:13.97,0.88
'0:0:13.98,0.85
'0:0:13.99,0.87
'0:0:14.0,0.84
'0:0:14.01,0.86
'0:0:14.02,0.82
'0:0:14.03,0.84
'0:0:14.04,0.80
'0:0:14.05,0.82
'0:0:14.06,0.79
'0:0:14.07,0.80
'0:0:14.08,0.77
'0:0:14.09,0.78
'0:0:14.1,0.74
'0:0:14.11,0.76
'0:0:14.12,0.72
'0:0:14.13,0.74
'0:0:14.14,0.70
'0:0:14.15,0.72
'0:0:14.16,0.69
'0:0:14.17,0.70
'0:0:14.18,0.67
'0:0:14.19,0.68
'0:0:14.2,0.65
'0:0:14.21,0.66
'0:0:14.22,0.63
'0:0:14.23,0.65
'0:0:14.24,0.61
'0:0:14.25,0.63
'0:0:14.26,0.60
'0:0:14.27,0.62
'0:0:14.28,0.59
'0:0:14.29,0.61
'0:0:14.3,0.58
'0:0:14.31,0.60
'0:0:14.32,0.56
'0:0:14.33,0.59
'0:0:14.34,0.56
'0:0:14.35,0.58
'0:0:14.36,0.55
'0:0:14.37,0.57
'0:0:14.38,0.54
'0:0:14.39,0.56
'0:0:14.4,0.53
'0:0:14.41,0.55
'0:0:14.42,0.52
'0:0:14.43,0.54
'0:0:14.44,0.51
'0:0:14.45,0.53
'0:0:14.46,0.50
'0:0:14.47,0.52
'0:0:14.48,0.49
'0:0:14.49,0.51
'0:0:14.5,0.48
'0:0:14.51,0.50
'0:0:14.52,0.47
'0:0:14.53,0.49
'0:0:14.54,0.46
'0:0:14.55,0.48
'0:0:14.56,0.45
'0:0:14.57,0.46
'0:0:14.58,0.44
'0:0:14.59,0.46
'0:0:14.6,0.43
'0:0:14.61,0.45
'0:0:14.62,0.42
'0:0:14.63,0.44
'0:0:14.64,0.41
'0:0:14.65,0.43
'0:0:14.66,0.40
'0:0:14.67,0.42
'0:0:14.68,0.40
'0:0:14.69,0.42
'0:0:14.7,0.39
'0:0:14.71,0.41
'0:0:14.72,0.38
'0:0:14.73,0.41
'0:0:14.74,0.38
'0:0:14.75,0.40
'0:0:14.76,0.38
'0:0:14.77,0.40
'0:0:14.78,0.37
'0:0:14.79,0.39
'0:0:14.8,0.37
'0:0:14.81,0.39
'0:0:14.82,0.36
'0:0:14.83,0.39
'0:0:14.84,0.36
'0:0:14.85,0.38
'0:0:14.86,0.36
'0:0:14.87,0.38
'0:0:14.88,0.35
'0:0:14.89,0.38
'0:0:14.9,0.35
'0:0:14.91,0.37
'0:0:14.92,0.35
'0:0:14.93,0.37
'0:0:14.94,0.35
'0:0:14.95,0.37
'0:0:14.96,0.34
'0:0:14.97,0.36
'0:0:14.98,0.34
'0:0:14.99,0.36
'0:0:15.0,0.34
'0:0:15.01,0.36
'0:0:15.02,0.34
'0:0:15.03,0.36
'0:0:15.04,0.34
'0:0:15.05,0.36
'0:0:15.06,0.34
'0:0:15.07,0.36
'0:0:15.08,0.34
'0:0:15.09,0.36
'0:0:15.1,0.34
'0:0:15.11,0.36
'0:0:15.12,0.34
'0:0:15.13,0.36
'0:0:15.14,0.34
'0:0:15.15,0.36
'0:0:15.16,0.34
'0:0:15.17,0.36
'0:0:15.18,0.34
'0:0:15.19,0.36
'0:0:15.2,0.34
'0:0:15.21,0.36
'0:0:15.22,0.34
'0:0:15.23,0.36
'0:0:15.24,0.34
'0:0:15.25,0.36
'0:0:15.26,0.34
'0:0:15.27,0.36
'0:0:15.28,0.34
'0:0:15.29,0.36
'0:0:15.3,0.34
'0:0:15.31,0.36
'0:0:15.32,0.34
'0:0:15.33,0.36
'0:0:15.34,0.34
'0:0:15.35,0.36
'0:0:15.36,0.34
'0:0:15.37,0.36
'0:0:15.38,0.34
'0:0:15.39,0.36
'0:0:15.4,0.34
'0:0:15.41,0.36
'0:0:15.42,0.34
'0:0:15.43,0.36
'0:0:15.44,0.34
'0:0:15.45,0.36
'0:0:15.46,0.34
'0:0:15.47,0.36
'0:0:15.48,0.34
'0:0:15.49,0.36
'0:0:15.5,0.34
'0:0:15.51,0.36
'0:0:15.52,0.34
'0:0:15.53,0.36
'0:0:15.54,0.34
'0:0:15.55,0.36
'0:0:15.56,0.34
'0:0:15.57,0.36
'0:0:15.58,0.34
'0:0:15.59,0.37
'0:0:15.6,0.34
'0:0:15.61,0.37
'0:0:15.62,0.34
'0:0:15.63,0.37
'0:0:15.64,0.34
'0:0:15.65,0.37
'0:0:15.66,0.34
'0:0:15.67,0.37
'0:0:15.68,0.34
'0:0:15.69,0.37
'0:0:15.7,0.34
'0:0:15.71,0.37
'0:0:15.72,0.34
'0:0:15.73,0.37
'0:0:15.74,0.34
'0:0:15.75,0.37
'0:0:15.76,0.34
'0:0:15.77,0.37
'0:0:15.78,0.34
'0:0:15.79,0.37
'0:0:15.8,0.34
'0:0:15.81,0.37
'0:0:15.82,0.34
'0:0:15.83,0.37
'0:0:15.84,0.34
'0:0:15.85,0.37
'0:0:15.86,0.34
'0:0:15.87,0.37
'0:0:15.88,0.34
'0:0:15.89,0.37
'0:0:15.9,0.34
'0:0:15.91,0.37
'0:0:15.92,0.34
'0:0:15.93,0.37
'0:0:15.94,0.34
'0:0:15.95,0.37
'0:0:15.96,0.34
'0:0:15.97,0.36
'0:0:15.98,0.34
'0:0:15.99,0.36
'0:0:16.0,0.34
'0:0:16.01,0.36
'0:0:16.02,0.34
'0:0:16.03,0.36
'0:0:16.04,0.34
'0:0:16.05,0.36
'0:0:16.06,0.34
'0:0:16.07,0.36
'0:0:16.08,0.34
'0:0:16.09,0.36
'0:0:16.1,0.34
'0:0:16.11,0.36
'0:0:16.12,0.34
'0:0:16.13,0.36
'0:0:16.14,0.34
'0:0:16.15,0.36
'0:0:16.16,0.34
'0:0:16.17,0.36
'0:0:16.18,0.34
'0:0:16.19,0.36
'0:0:16.2,0.34
'0:0:16.21,0.36
'0:0:16.22,0.34
'0:0:16.23,0.36
'0:0:16.24,0.34
'0:0:16.25,0.36
'0:0:16.26,0.34
'0:0:16.27,0.36
'0:0:16.28,0.34
'0:0:16.29,0.36
'0:0:16.3,0.34
'0:0:16.31,0.37
'0:0:16.32,0.34
'0:0:16.33,0.37
'0:0:16.34,0.34
'0:0:16.35,0.37
'0:0:16.36,0.34
'0:0:16.37,0.37
'0:0:16.38,0.34
'0:0:16.39,0.37
'0:0:16.4,0.34
'0:0:16.41,0.37
'0:0:16.42,0.35
'0:0:16.43,0.37
'0:0:16.44,0.35
'0:0:16.45,0.37
'0:0:16.46,0.35
'0:0:16.47,0.37
'0:0:16.48,0.35
'0:0:16.49,0.37
'0:0:16.5,0.34
'0:0:16.51,0.37
'0:0:16.52,0.35
'0:0:16.53,0.37
'0:0:16.54,0.35
'0:0:16.55,0.37
'0:0:16.56,0.35
'0:0:16.57,0.37
'0:0:16.58,0.35
'0:0:16.59,0.37
'0:0:16.6,0.35
'0:0:16.61,0.37
'0:0:16.62,0.35
'0:0:16.63,0.37
'0:0:16.64,0.35
'0:0:16.65,0.37
'0:0:16.66,0.35
'0:0:16.67,0.37
'0:0:16.68,0.35
'0:0:16.69,0.37
'0:0:16.7,0.35
'0:0:16.71,0.37
'0:0:16.72,0.35
'0:0:16.73,0.37
'0:0:16.74,0.35
'0:0:16.75,0.37
'0:0:16.76,0.35
'0:0:16.77,0.37
'0:0:16.78,0.35
'0:0:16.79,0.37
'0:0:16.8,0.35
'0:0:16.81,0.37
'0:0:16.82,0.35
'0:0:16.83,0.37
'0:0:16.84,0.35
'0:0:16.85,0.37
'0:0:16.86,0.35
'0:0:16.87,0.37
'0:0:16.88,0.35
'0:0:16.89,0.37
'0:0:16.9,0.35
'0:0:16.91,0.37
'0:0:16.92,0.35
'0:0:16.93,0.38
'0:0:16.94,0.35
'0:0:16.95,0.38
'0:0:16.96,0.35
'0:0:16.97,0.38
'0:0:16.98,0.35
'0:0:16.99,0.38
'0:0:17.0,0.35
'0:0:17.01,0.37
'0:0:17.02,0.35
'0:0:17.03,0.38
'0:0:17.04,0.35
'0:0:17.05,0.38
'0:0:17.06,0.35
'0:0:17.07,0.38
'0:0:17.08,0.35
'0:0:17.09,0.38
'0:0:17.1,0.35
'0:0:17.11,0.38
'0:0:17.12,0.35
'0:0:17.13,0.38
'0:0:17.14,0.35
'0:0:17.15,0.38
'0:0:17.16,0.35
'0:0:17.17,0.38
'0:0:17.18,0.35
'0:0:17.19,0.38
'0:0:17.2,0.35
'0:0:17.21,0.38
'0:0:17.22,0.35
'0:0:17.23,0.38
'0:0:17.24,0.35
'0:0:17.25,0.38
'0:0:17.26,0.35
'0:0:17.27,0.38
'0:0:17.28,0.35
'0:0:17.29,0.38
'0:0:17.3,0.36
'0:0:17.31,0.38
'0:0:17.32,0.36
'0:0:17.33,0.38
'0:0:17.34,0.36
'0:0:17.35,0.38
'0:0:17.36,0.36
'0:0:17.37,0.38
'0:0:17.38,0.36
'0:0:17.39,0.38
'0:0:17.4,0.36
'0:0:17.41,0.38
'0:0:17.42,0.36
'0:0:17.43,0.39
'0:0:17.44,0.36
'0:0:17.45,0.39
'0:0:17.46,0.36
'0:0:17.47,0.39
'0:0:17.48,0.36
'0:0:17.49,0.39
'0:0:17.5,0.36
'0:0:17.51,0.39
'0:0:17.52,0.36
'0:0:17.53,0.39
'0:0:17.54,0.37
'0:0:17.55,0.39
'0:0:17.56,0.37
'0:0:17.57,0.39
'0:0:17.58,0.37
'0:0:17.59,0.40
'0:0:17.6,0.37
'0:0:17.61,0.40
'0:0:17.62,0.38
'0:0:17.63,0.40
'0:0:17.64,0.38
'0:0:17.65,0.40
'0:0:17.66,0.38
'0:0:17.67,0.41
'0:0:17.68,0.38
'0:0:17.69,0.41
'0:0:17.7,0.38
'0:0:17.71,0.41
'0:0:17.72,0.39
'0:0:17.73,0.41
'0:0:17.74,0.39
'0:0:17.75,0.42
'0:0:17.76,0.39
'0:0:17.77,0.42
'0:0:17.78,0.39
'0:0:17.79,0.42
'0:0:17.8,0.40
'0:0:17.81,0.42
'0:0:17.82,0.40
'0:0:17.83,0.42
'0:0:17.84,0.40
'0:0:17.85,0.42
'0:0:17.86,0.40
'0:0:17.87,0.42
'0:0:17.88,0.40
'0:0:17.89,0.42
'0:0:17.9,0.40
'0:0:17.91,0.43
'0:0:17.92,0.40
'0:0:17.93,0.43
'0:0:17.94,0.40
'0:0:17.95,0.43
'0:0:17.96,0.40
'0:0:17.97,0.43
'0:0:17.98,0.40
'0:0:17.99,0.43
'0:0:18.0,0.40
'0:0:18.01,0.43
'0:0:18.02,0.40
'0:0:18.03,0.42
'0:0:18.04,0.40
'0:0:18.05,0.42
'0:0:18.06,0.40
'0:0:18.07,0.42
'0:0:18.08,0.39
'0:0:18.09,0.42
'0:0:18.1,0.39
'0:0:18.11,0.42
'0:0:18.12,0.39
'0:0:18.13,0.42
'0:0:18.14,0.39
'0:0:18.15,0.42
'0:0:18.16,0.39
'0:0:18.17,0.41
'0:0:18.18,0.39
'0:0:18.19,0.41
'0:0:18.2,0.39
'0:0:18.21,0.41
'0:0:18.22,0.38
'0:0:18.23,0.41
'0:0:18.24,0.38
'0:0:18.25,0.41
'0:0:18.26,0.38
'0:0:18.27,0.41
'0:0:18.28,0.38
'0:0:18.29,0.41
'0:0:18.3,0.38
'0:0:18.31,0.41
'0:0:18.32,0.38
'0:0:18.33,0.41
'0:0:18.34,0.38
'0:0:18.35,0.40
'0:0:18.36,0.38
'0:0:18.37,0.40
'0:0:18.38,0.38
'0:0:18.39,0.40
'0:0:18.4,0.37
'0:0:18.41,0.40
'0:0:18.42,0.37
'0:0:18.43,0.40
'0:0:18.44,0.37
'0:0:18.45,0.40
'0:0:18.46,0.37
'0:0:18.47,0.40
'0:0:18.48,0.37
'0:0:18.49,0.39
'0:0:18.5,0.37
'0:0:18.51,0.39
'0:0:18.52,0.37
'0:0:18.53,0.39
'0:0:18.54,0.37
'0:0:18.55,0.39
'0:0:18.56,0.36
'0:0:18.57,0.39
'0:0:18.58,0.36
'0:0:18.59,0.39
'0:0:18.6,0.36
'0:0:18.61,0.39
'0:0:18.62,0.36
'0:0:18.63,0.39
'0:0:18.64,0.36
'0:0:18.65,0.38
'0:0:18.66,0.36
'0:0:18.67,0.38
'0:0:18.68,0.36
'0:0:18.69,0.38
'0:0:18.7,0.35
'0:0:18.71,0.38
'0:0:18.72,0.35
'0:0:18.73,0.38
'0:0:18.74,0.35
'0:0:18.75,0.38
'0:0:18.76,0.35
'0:0:18.77,0.38
'0:0:18.78,0.35
'0:0:18.79,0.38
'0:0:18.8,0.35
'0:0:18.81,0.38
'0:0:18.82,0.35
'0:0:18.83,0.38
'0:0:18.84,0.35
'0:0:18.85,0.37
'0:0:18.86,0.35
'0:0:18.87,0.37
'0:0:18.88,0.35
'0:0:18.89,0.37
'0:0:18.9,0.35
'0:0:18.91,0.37
'0:0:18.92,0.35
'0:0:18.93,0.37
'0:0:18.94,0.35
'0:0:18.95,0.37
'0:0:18.96,0.35
'0:0:18.97,0.37
'0:0:18.98,0.35
'0:0:18.99,0.37
'0:0:19.0,0.35
'0:0:19.01,0.37
'0:0:19.02,0.35
'0:0:19.03,0.37
'0:0:19.04,0.35
'0:0:19.05,0.37
'0:0:19.06,0.35
'0:0:19.07,0.37
'0:0:19.08,0.35
'0:0:19.09,0.37
'0:0:19.1,0.35
'0:0:19.11,0.37
'0:0:19.12,0.35
'0:0:19.13,0.37
'0:0:19.14,0.35
'0:0:19.15,0.38
'0:0:19.16,0.35
'0:0:19.17,0.38
'0:0:19.18,0.35
'0:0:19.19,0.38
'0:0:19.2,0.35
'0:0:19.21,0.38
'0:0:19.22,0.35
'0:0:19.23,0.38
'0:0:19.24,0.35
'0:0:19.25,0.38
'0:0:19.26,0.35
'0:0:19.27,0.38
'0:0:19.28,0.35
'0:0:19.29,0.38
'0:0:19.3,0.35
'0:0:19.31,0.38
'0:0:19.32,0.35
'0:0:19.33,0.38
'0:0:19.34,0.35
'0:0:19.35,0.38
'0:0:19.36,0.35
'0:0:19.37,0.38
'0:0:19.38,0.35
'0:0:19.39,0.38
'0:0:19.4,0.35
'0:0:19.41,0.38
'0:0:19.42,0.35
'0:0:19.43,0.38
'0:0:19.44,0.35
'0:0:19.45,0.38
'0:0:19.46,0.35
'0:0:19.47,0.38
'0:0:19.48,0.35
'0:0:19.49,0.38
'0:0:19.5,0.35
'0:0:19.51,0.38
'0:0:19.52,0.35
'0:0:19.53,0.38
'0:0:19.54,0.35
'0:0:19.55,0.38
'0:0:19.56,0.35
'0:0:19.57,0.38
'0:0:19.58,0.35
'0:0:19.59,0.38
'0:0:19.6,0.35
'0:0:19.61,0.38
'0:0:19.62,0.35
'0:0:19.63,0.38
'0:0:19.64,0.35
'0:0:19.65,0.38
'0:0:19.66,0.35
'0:0:19.67,0.38
'0:0:19.68,0.35
'0:0:19.69,0.38
'0:0:19.7,0.35
'0:0:19.71,0.38
'0:0:19.72,0.35
'0:0:19.73,0.38
'0:0:19.74,0.35
'0:0:19.75,0.38
'0:0:19.76,0.35
'0:0:19.77,0.38
'0:0:19.78,0.35
'0:0:19.79,0.38
'0:0:19.8,0.35
'0:0:19.81,0.38
'0:0:19.82,0.35
'0:0:19.83,0.38
'0:0:19.84,0.35
'0:0:19.85,0.38
'0:0:19.86,0.36
'0:0:19.87,0.38
'0:0:19.88,0.35
'0:0:19.89,0.38
'0:0:19.9,0.35
'0:0:19.91,0.38
'0:0:19.92,0.35
'0:0:19.93,0.38
'0:0:19.94,0.35
'0:0:19.95,0.38
'0:0:19.96,0.35
'0:0:19.97,0.38
'0:0:19.98,0.35
'0:0:19.99,0.38
'0:0:20.0,0.35
'0:0:20.01,0.38
'0:0:20.02,0.35
'0:0:20.03,0.38
'0:0:20.04,0.35
'0:0:20.05,0.38
'0:0:20.06,0.35
'0:0:20.07,0.38
'0:0:20.08,0.35
'0:0:20.09,0.38
'0:0:20.1,0.35
'0:0:20.11,0.38
'0:0:20.12,0.35
'0:0:20.13,0.38
'0:0:20.14,0.35
'0:0:20.15,0.38
'0:0:20.16,0.35
'0:0:20.17,0.37
'0:0:20.18,0.35
'0:0:20.19,0.38
'0:0:20.2,0.35
'0:0:20.21,0.37
'0:0:20.22,0.35
'0:0:20.23,0.38
'0:0:20.24,0.35
'0:0:20.25,0.38
'0:0:20.26,0.35
'0:0:20.27,0.38
'0:0:20.28,0.35
'0:0:20.29,0.38
'0:0:20.3,0.35
'0:0:20.31,0.38
'0:0:20.32,0.35
'0:0:20.33,0.38
'0:0:20.34,0.35
'0:0:20.35,0.38
'0:0:20.36,0.35
'0:0:20.37,0.38
'0:0:20.38,0.35
'0:0:20.39,0.38
'0:0:20.4,0.35
'0:0:20.41,0.38
'0:0:20.42,0.35
'0:0:20.43,0.38
'0:0:20.44,0.35
'0:0:20.45,0.38
'0:0:20.46,0.35
'0:0:20.47,0.38
'0:0:20.48,0.35
'0:0:20.49,0.38
'0:0:20.5,0.35
'0:0:20.51,0.38
'0:0:20.52,0.35
'0:0:20.53,0.38
'0:0:20.54,0.35
'0:0:20.55,0.38
'0:0:20.56,0.35
'0:0:20.57,0.38
'0:0:20.58,0.35
'0:0:20.59,0.38
'0:0:20.6,0.35
'0:0:20.61,0.38
'0:0:20.62,0.35
'0:0:20.63,0.38
'0:0:20.64,0.35
'0:0:20.65,0.38
'0:0:20.66,0.35
'0:0:20.67,0.38
'0:0:20.68,0.35
'0:0:20.69,0.38
'0:0:20.7,0.35
'0:0:20.71,0.37
'0:0:20.72,0.35
'0:0:20.73,0.37
'0:0:20.74,0.35
'0:0:20.75,0.38
'0:0:20.76,0.35
'0:0:20.77,0.37
'0:0:20.78,0.35
'0:0:20.79,0.37
'0:0:20.8,0.35
'0:0:20.81,0.37
'0:0:20.82,0.35
'0:0:20.83,0.37
'0:0:20.84,0.35
'0:0:20.85,0.38
'0:0:20.86,0.35
'0:0:20.87,0.38
'0:0:20.88,0.35
'0:0:20.89,0.38
'0:0:20.9,0.35
'0:0:20.91,0.38
'0:0:20.92,0.35
'0:0:20.93,0.38
'0:0:20.94,0.35
'0:0:20.95,0.38
'0:0:20.96,0.35
'0:0:20.97,0.38
'0:0:20.98,0.35
'0:0:20.99,0.38
'0:0:21.0,0.35
'0:0:21.01,0.38
'0:0:21.02,0.35
'0:0:21.03,0.37
'0:0:21.04,0.35
'0:0:21.05,0.38
'0:0:21.06,0.35
'0:0:21.07,0.38
'0:0:21.08,0.35
'0:0:21.09,0.38
'0:0:21.1,0.35
'0:0:21.11,0.38
'0:0:21.12,0.35
'0:0:21.13,0.37
'0:0:21.14,0.35
'0:0:21.15,0.37
'0:0:21.16,0.35
'0:0:21.17,0.37
'0:0:21.18,0.35
'0:0:21.19,0.37
'0:0:21.2,0.35
'0:0:21.21,0.37
'0:0:21.22,0.35
'0:0:21.23,0.37
'0:0:21.24,0.35
'0:0:21.25,0.37
'0:0:21.26,0.35
'0:0:21.27,0.37
'0:0:21.28,0.35
'0:0:21.29,0.37
'0:0:21.3,0.35
'0:0:21.31,0.37
'0:0:21.32,0.35
'0:0:21.33,0.37
'0:0:21.34,0.35
'0:0:21.35,0.37
'0:0:21.36,0.35
'0:0:21.37,0.37
'0:0:21.38,0.35
'0:0:21.39,0.37
'0:0:21.4,0.35
'0:0:21.41,0.37
'0:0:21.42,0.35
'0:0:21.43,0.37
'0:0:21.44,0.35
'0:0:21.45,0.37
'0:0:21.46,0.35
'0:0:21.47,0.37
'0:0:21.48,0.35
'0:0:21.49,0.37
'0:0:21.5,0.35
'0:0:21.51,0.37
