Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
10,350	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
10,400	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
10,450	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
10,500	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
10,550	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
10,600	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
10,650	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
10,700	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
10,750	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
10,800	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
10,850	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
10,900	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
10,950	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
11,000	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
11,050	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
11,100	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
11,150	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
11,200	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
11,250	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
11,300	-67,701	0,000	0,000	-1,6163	0,000	0,000	0,0
11,350	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
11,400	-67,701	0,000	0,000	-1,6163	0,000	0,000	-0,1
11,450	-67,701	0,000		-1,6163	0,000		-0,1
