Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
8,320	27,437	2,182	-13,635	0,6550	0,052	-0,326	0,2
8,360	27,506	1,527	-16,362	0,6567	0,036	-0,391	0,2
8,400	27,559	0,873	5,454	0,6579	0,021	0,130	0,3
8,440	27,576	1,963	40,906	0,6583	0,047	0,977	0,3
8,480	27,716	4,145	19,090	0,6617	0,099	0,456	0,4
8,520	27,908	3,491	-29,998	0,6663	0,083	-0,716	0,5
8,560	27,995	1,745	-19,090	0,6683	0,042	-0,456	0,5
8,600	28,047	1,963	5,454	0,6696	0,047	0,130	0,7
8,640	28,152	2,182	-5,551E-13	0,6721	0,052	1,735E-14	0,6
8,680	28,222	1,963	-8,181	0,6737	0,047	-0,195	0,6
8,720	28,309	1,527	-16,362	0,6758	0,036	-0,391	0,6
8,760	28,344	0,654	-16,362	0,6767	0,016	-0,391	0,5
8,800	28,362	0,218	-5,454	0,6771	0,005	-0,130	0,4
8,840	28,362	0,218	8,181	0,6771	0,005	0,195	0,4
8,880	28,379	0,873	19,090	0,6775	0,021	0,456	0,4
8,920	28,431	1,745	5,454	0,6787	0,042	0,130	0,4
8,960	28,519	1,309	-2,727	0,6808	0,031	-0,065	0,4
9,000	28,536	1,527	16,362	0,6812	0,036	0,391	0,3
9,040	28,641	2,618	2,727	0,6837	0,062	0,065	0,3
9,080	28,746	1,745	-24,544	0,6862	0,042	-0,586	0,3
9,120	28,780	0,654	-16,362	0,6871	0,016	-0,391	0,2
9,160	28,798	0,436	-2,727	0,6875	0,010	-0,065	0,2
9,200	28,815	0,436	2,727	0,6879	0,010	0,065	0,2
9,240	28,833	0,654	2,727	0,6883	0,016	0,065	0,2
9,280	28,868	0,654	-5,454	0,6892	0,016	-0,130	0,2
9,320	28,885	0,218	-5,454	0,6896	0,005	-0,130	0,2
9,360	28,885	0,218	2,727	0,6896	0,005	0,065	0,2
9,400	28,903	0,436	5,454	0,6900	0,010	0,130	0,2
9,440	28,920	0,654	10,908	0,6904	0,016	0,260	0,2
9,480	28,955	1,309	13,635	0,6912	0,031	0,326	0,2
9,520	29,025	1,745	16,362	0,6929	0,042	0,391	0,2
9,560	29,095	2,618	13,635	0,6946	0,062	0,326	0,2
9,600	29,234	2,836	-16,362	0,6979	0,068	-0,391	0,2
9,640	29,322	1,309	-16,362	0,7000	0,031	-0,391	0,2
9,680	29,339	1,527	13,635	0,7004	0,036	0,326	0,2
9,720	29,444	2,400	-5,454	0,7029	0,057	-0,130	0,2
9,760	29,531	1,091	-29,998	0,7050	0,026	-0,716	0,2
9,800	29,531	0,000	-10,908	0,7050	0,000	-0,260	0,2
9,840	29,531	0,218	5,454	0,7050	0,005	0,130	0,2
9,880	29,548	0,436	2,727	0,7054	0,010	0,065	0,2
9,920	29,566	0,436	2,727	0,7058	0,010	0,065	0,2
9,960	29,583	0,654	5,454	0,7062	0,016	0,130	0,3
10,000	29,618	0,873	10,908	0,7071	0,021	0,260	0,2
10,040	29,653	1,527	13,635	0,7079	0,036	0,326	0,2
10,080	29,740	1,963	2,727	0,7100	0,047	0,065	0,2
10,120	29,810	1,745	-5,454	0,7117	0,042	-0,130	0,2
10,160	29,880	1,527	2,727	0,7133	0,036	0,065	0,2
10,200	29,932	1,963	5,454	0,7146	0,047	0,130	0,2
10,240	30,037	1,963	-13,635	0,7171	0,047	-0,326	0,2
10,280	30,089	0,873	-21,817	0,7183	0,021	-0,521	0,3
10,320	30,107	0,218	-10,908	0,7187	0,005	-0,260	0,2
10,360	30,107	0,000	-2,727	0,7187	0,000	-0,065	0,3
10,400	30,107	0,000	0,000	0,7187	0,000	0,000	0,3
10,440	30,107	0,000	0,000	0,7187	0,000	0,000	0,3
10,480	30,107	0,000	0,000	0,7187	0,000	0,000	0,3
10,520	30,107	0,000	0,000	0,7187	0,000	0,000	0,3
10,560	30,107	0,000	0,000	0,7187	0,000	0,000	0,3
10,600	30,107	0,000	0,000	0,7187	0,000	0,000	0,3
10,640	30,107	0,000	0,000	0,7187	0,000	0,000	0,2
10,680	30,107	0,000	0,000	0,7187	0,000	0,000	0,3
10,720	30,107	0,000	-2,727	0,7187	0,000	-0,065	0,3
10,760	30,107	-0,218	-2,727	0,7187	-0,005	-0,065	0,3
10,800	30,089	-0,218	2,727	0,7183	-0,005	0,065	0,3
10,840	30,089	0,000	2,727	0,7183	0,000	0,065	0,3
10,880	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
10,920	30,089	0,000	0,000	0,7183	0,000	0,000	0,3
10,960	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,000	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,040	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,080	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,120	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,160	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,200	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,240	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,280	30,089	0,000	0,000	0,7183	0,000	0,000	0,2
11,320	30,089	0,000	-2,727	0,7183	0,000	-0,065	0,3
11,360	30,089	-0,218	-2,727	0,7183	-0,005	-0,065	0,2
11,400	30,072	-0,218	2,727	0,7179	-0,005	0,065	0,3
11,440	30,072	0,000	2,727	0,7179	0,000	0,065	0,2
11,480	30,072	0,000	0,000	0,7179	0,000	0,000	0,3
11,520	30,072	0,000	0,000	0,7179	0,000	0,000	0,2
11,560	30,072	0,000	0,000	0,7179	0,000	0,000	0,2
11,600	30,072	0,000	0,000	0,7179	0,000	0,000	0,2
11,640	30,072	0,000	0,000	0,7179	0,000	0,000	0,2
11,680	30,072	0,000	0,000	0,7179	0,000	0,000	0,2
11,720	30,072	0,000	0,000	0,7179	0,000	0,000	0,2
11,760	30,072	0,000	-2,727	0,7179	0,000	-0,065	0,2
11,800	30,072	-0,218	-2,727	0,7179	-0,005	-0,065	0,2
11,840	30,055	-0,218	2,727	0,7175	-0,005	0,065	0,2
11,880	30,055	0,000	2,727	0,7175	0,000	0,065	0,3
11,920	30,055	0,000	0,000	0,7175	0,000	0,000	0,2
11,960	30,055	0,000	0,000	0,7175	0,000	0,000	0,2
12,000	30,055	0,000	0,000	0,7175	0,000	0,000	0,1
12,040	30,055	0,000	-2,727	0,7175	0,000	-0,065	0,2
12,080	30,055	-0,218	-8,181	0,7175	-0,005	-0,195	0,2
12,120	30,037	-0,654	-13,635	0,7171	-0,016	-0,326	0,2
12,160	30,002	-1,309	-21,817	0,7162	-0,031	-0,521	0,2
12,200	29,932	-2,400	-27,271	0,7146	-0,057	-0,651	0,2
