Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
2,400;60,60;-3,578;-2,182;32,725;-0,0854;-0,052;0,781
2,420;60,63;-3,613;-0,873;43,633;-0,0862;-0,021;1,042
2,440;60,63;-3,613;-0,436;2,776E-13;-0,0862;-0,010;0,000
2,460;60,68;-3,630;-0,873;-21,817;-0,0867;-0,021;-0,521
2,480;60,68;-3,648;-1,309;-43,633;-0,0871;-0,031;-1,042
2,500;60,73;-3,683;-2,618;-32,725;-0,0879;-0,062;-0,781
2,520;60,76;-3,752;-2,618;21,817;-0,0896;-0,062;0,521
2,540;60,81;-3,787;-1,745;32,725;-0,0904;-0,042;0,781
2,560;60,83;-3,822;-1,309;2,776E-13;-0,0912;-0,031;0,000
2,580;60,86;-3,840;-1,745;-10,908;-0,0917;-0,042;-0,260
2,600;60,89;-3,892;-1,745;21,817;-0,0929;-0,042;0,521
2,620;60,93;-3,910;-0,873;21,817;-0,0933;-0,021;0,521
2,640;60,95;-3,927;-0,873;-10,908;-0,0937;-0,021;-0,260
2,660;61,01;-3,944;-1,309;0,000;-0,0942;-0,031;8,674E-15
2,680;61,06;-3,979;-0,873;21,817;-0,0950;-0,021;0,521
2,700;61,10;-3,979;-0,436;0,000;-0,0950;-0,010;-8,674E-15
2,720;61,12;-3,997;-0,873;-21,817;-0,0954;-0,021;-0,521
2,740;61,15;-4,014;-1,309;-21,817;-0,0958;-0,031;-0,521
2,760;61,18;-4,049;-1,745;-10,908;-0,0967;-0,042;-0,260
2,780;61,22;-4,084;-1,745;-1,038E-12;-0,0975;-0,042;-2,012E-14
2,800;61,25;-4,119;-1,745;-10,908;-0,0983;-0,042;-0,260
2,820;61,29;-4,154;-2,182;-32,725;-0,0992;-0,052;-0,781
2,840;61,31;-4,206;-3,054;-21,817;-0,1004;-0,073;-0,521
2,860;61,35;-4,276;-3,054;21,817;-0,1021;-0,073;0,521
2,880;61,41;-4,328;-2,182;43,633;-0,1033;-0,052;1,042
2,900;61,46;-4,363;-1,309;21,817;-0,1042;-0,031;0,521
