Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
3,260;75,83;-7,906;-5,236;21,817;-0,1887;-0,125;0,521
3,280;75,87;-8,011;-4,800;10,908;-0,1912;-0,115;0,260
3,300;75,90;-8,098;-4,800;-10,908;-0,1933;-0,115;-0,260
3,320;75,86;-8,203;-5,236;10,908;-0,1958;-0,125;0,260
3,340;75,82;-8,308;-4,363;43,633;-0,1983;-0,104;1,042
3,360;75,77;-8,378;-3,491;21,817;-0,2000;-0,083;0,521
3,380;75,68;-8,447;-3,491;-21,817;-0,2017;-0,083;-0,521
3,400;75,57;-8,517;-4,363;-32,725;-0,2033;-0,104;-0,781
3,420;75,35;-8,622;-4,800;21,817;-0,2058;-0,115;0,521
3,440;75,14;-8,709;-3,491;43,633;-0,2079;-0,083;1,042
3,460;75,02;-8,762;-3,054;10,908;-0,2092;-0,073;0,260
3,480;74,86;-8,831;-3,054;-21,817;-0,2108;-0,073;-0,521
3,500;74,68;-8,884;-3,927;-54,542;-0,2121;-0,094;-1,302
3,520;74,50;-8,988;-5,236;-21,817;-0,2146;-0,125;-0,521
3,540;74,27;-9,093;-4,800;21,817;-0,2171;-0,115;0,521
3,560;74,07;-9,180;-4,363;21,817;-0,2192;-0,104;0,521
3,580;73,79;-9,268;-3,927;10,908;-0,2212;-0,094;0,260
3,600;73,53;-9,338;-3,927;0,000;-0,2229;-0,094;0,000
3,620;73,27;-9,425;-3,927;0,000;-0,2250;-0,094;0,000
3,640;72,95;-9,495;-3,927;10,908;-0,2267;-0,094;0,260
3,660;72,72;-9,582;-3,491;21,817;-0,2287;-0,083;0,521
3,680;72,42;-9,634;-3,054;-10,908;-0,2300;-0,073;-0,260
3,700;72,04;-9,704;-3,927;-21,817;-0,2317;-0,094;-0,521
3,720;71,82;-9,791;-3,927;10,908;-0,2337;-0,094;0,260
3,740;71,54;-9,861;-3,491;10,908;-0,2354;-0,083;0,260
3,760;71,32;-9,931;-3,491;-10,908;-0,2371;-0,083;-0,260
3,780;71,10;-10,001;-3,927;-10,908;-0,2387;-0,094;-0,260
3,800;70,80;-10,088;-3,927;10,908;-0,2408;-0,094;0,260
3,820;70,62;-10,158;-3,491;2,220E-14;-0,2425;-0,083;-2,602E-14
3,840;70,46;-10,228;-3,927;-32,725;-0,2442;-0,094;-0,781
3,860;70,20;-10,315;-4,800;-10,908;-0,2463;-0,115;-0,260
3,880;70,01;-10,420;-4,363;43,633;-0,2487;-0,104;1,042
3,900;69,83;-10,489;-3,054;43,633;-0,2504;-0,073;1,042
3,920;69,59;-10,542;-2,618;32,725;-0,2517;-0,062;0,781
3,940;69,44;-10,594;-1,745;43,633;-0,2529;-0,042;1,042
3,960;69,26;-10,612;-0,873;10,908;-0,2533;-0,021;0,260
3,980;69,14;-10,629;-1,309;-54,542;-0,2537;-0,031;-1,302
4,000;69,07;-10,664;-3,054;-87,266;-0,2546;-0,073;-2,083
4,020;68,93;-10,751;-4,800;-65,450;-0,2567;-0,115;-1,562
4,040;68,83;-10,856;-5,672;-10,908;-0,2592;-0,135;-0,260
4,060;68,76;-10,978;-5,236;32,725;-0,2621;-0,125;0,781
4,080;68,66;-11,065;-4,363;-1,110E-12;-0,2642;-0,104;0,000
4,100;68,57;-11,153;-5,236;-32,725;-0,2662;-0,125;-0,781
4,120;68,43;-11,275;-5,672;10,908;-0,2692;-0,135;0,260
4,140;68,38;-11,380;-4,800;54,542;-0,2717;-0,115;1,302
4,160;68,32;-11,467;-3,491;54,542;-0,2737;-0,083;1,302
4,180;68,26;-11,519;-2,618;21,817;-0,2750;-0,062;0,521
4,200;68,19;-11,572;-2,618;10,908;-0,2762;-0,062;0,260
4,220;68,15;-11,624;-2,182;0,000;-0,2775;-0,052;0,000
4,240;68,08;-11,659;-2,618;-21,817;-0,2783;-0,062;-0,521
4,260;68,04;-11,729;-3,054;21,817;-0,2800;-0,073;0,521
4,280;68,03;-11,781;-1,745;54,542;-0,2812;-0,042;1,302
4,300;68,02;-11,798;-0,873;32,725;-0,2817;-0,021;0,781
4,320;68,02;-11,816;-0,436;21,817;-0,2821;-0,010;0,521
4,340;67,95;-11,816;0,000;10,908;-0,2821;0,000;0,260
4,360;67,92;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,380;67,95;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,400;67,94;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,420;67,94;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,440;67,93;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,460;67,95;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,480;67,94;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,500;68,00;-11,816;0,000;;-0,2821;0,000;
